Time (s),PPG Value
8.225145,0.1315
8.235853,0.294
8.245932,0.2922
8.255952,0.22
8.26596,0.1506
8.275993,0.061
8.286712,0.051
8.296705,-0.0202
8.306556,-0.1891
8.3164,-0.4827
8.326236,-0.8359
8.336756,-0.9461
8.346585,-0.817
8.356409,-0.6751
8.366252,-0.5967
8.376105,-0.5219
8.38666,-0.4705
8.396485,-0.4121
8.406345,-0.3771
8.416185,-0.386
8.42602,-0.4355
8.436585,0.0925
8.446617,0.4101
8.457328,0.4513
8.467345,0.3366
8.477353,0.2001
8.48806,0.2196
8.49968,0.1345
8.509629,-0.0663
8.51948,-0.2519
8.52934,-0.5277
8.539876,-0.6065
8.549749,-0.6409
8.55958,-0.5885
8.569416,-0.4842
8.579249,-0.743
8.589773,-0.8653
8.599617,-0.6373
8.60946,-0.4298
8.619304,-0.349
8.629144,-0.2566
8.639688,-0.2361
8.649553,-0.1205
8.659552,0.2715
8.669581,0.4241
8.679656,0.4093
8.689668,0.3748
8.700381,0.2908
8.71042,0.1056
8.720356,-0.0188
8.730249,-0.1189
8.74012,-0.2819
8.750653,-0.7557
8.760508,-1.0
8.770328,-1.0
8.780164,-1.0
8.789973,-0.9502
8.800508,-0.9374
8.810344,-0.9058
8.820193,-0.749
8.83004,-0.6723
8.839877,-0.4283
8.850424,-0.1818
8.86028,-0.3361
8.870121,-0.4625
8.880012,0.1534
8.890032,0.4513
8.900736,0.4895
8.910753,0.5158
8.921481,0.4768
8.931496,0.4134
8.941504,0.4349
8.952213,0.4817
8.963849,0.0011
8.97368,-0.5182
8.983532,-0.6425
8.993389,-0.5457
9.003912,-0.4438
9.013745,-0.4557
9.023572,-0.5305
9.0334,-0.5344
9.043232,-0.4666
9.053745,-0.4765
9.063576,-0.3459
9.073425,-0.165
9.083289,-0.1551
9.093132,-0.0162
9.103888,0.1963
9.113957,0.219
9.12396,0.1324
9.13398,0.1208
9.144001,0.1473
9.154712,0.1505
9.164752,0.077
9.174693,-0.0278
9.18456,-0.1652
9.194393,-0.3841
9.204936,-0.6474
9.214793,-0.7636
9.224664,-0.8152
9.234508,-0.8086
9.244328,-0.73
9.254148,-0.5963
9.26468,-0.5048
9.2745,-0.3072
9.284353,-0.0713
9.294197,-0.018
9.304044,-0.1007
9.314644,0.0068
9.324676,0.0612
9.334696,0.116
9.344709,0.1854
9.355421,0.1658
9.366112,0.1775
9.376136,0.1435
9.386173,0.0415
9.396073,-0.1495
9.405917,-0.4673
9.416453,-0.6823
9.427845,-0.7099
9.437672,-0.6056
9.447508,-0.5258
9.457337,-0.4598
9.467852,-0.4078
9.477677,-0.3772
9.487545,-0.2897
9.497405,-0.1973
9.507268,-0.2056
9.517781,-0.2504
9.527636,-0.0732
9.537625,0.1608
9.547636,0.2554
9.557717,0.2461
9.568428,0.2064
9.578444,0.1342
9.588453,-0.0067
9.598328,-0.0924
9.60818,-0.1424
9.618733,-0.2588
9.628564,-0.739
9.638397,-1.0
9.648224,-1.0
9.658033,-1.0
9.668513,-1.0
9.67834,-1.0
9.688164,-0.9225
9.69802,-0.4855
9.707884,-0.2609
9.717717,-0.0763
9.728412,0.0347
9.738352,0.0054
9.74836,0.2171
9.75838,0.4067
9.768384,0.519
9.779781,0.523
9.789793,0.477
9.799797,0.493
9.809804,0.4101
9.819828,0.2158
9.830533,0.0338
9.84194,-0.4401
9.85178,-0.5793
9.861628,-0.7679
9.871468,-0.9201
9.88198,-1.0
9.891784,-1.0
9.901604,-0.9564
9.911429,-0.8304
9.921253,-0.6754
9.931797,-0.448
9.941629,-0.3059
9.951488,-0.0688
9.961528,0.2089
9.971545,0.3924
9.982293,0.4405
9.992321,0.409
10.002345,0.3333
10.012453,0.2602
10.022561,0.1474
10.033281,-0.0556
10.0432,-0.271
10.053105,-0.422
10.063013,-0.4858
10.072909,-0.5302
10.083497,-0.6888
10.0934,-0.7226
10.103284,-0.8586
10.113188,-0.7456
10.123105,-0.5654
10.133716,-0.3689
10.14364,-0.2464
10.153565,-0.2504
10.163469,-0.2094
10.173393,-0.0133
10.183505,0.308
10.194265,0.3917
10.205057,0.3447
10.216756,0.2101
10.226857,0.1133
10.236956,0.0775
10.249313,-0.0058
10.259252,-0.1356
10.269168,-0.4157
10.279101,-0.7502
10.289,-1.0
10.299556,-1.0
10.309432,-1.0
10.3193,-0.9955
10.329189,-0.7658
10.339097,-0.471
10.349708,-0.279
10.359621,-0.1602
10.369544,-0.0423
10.379481,-0.0961
10.389405,-0.0793
10.400156,0.1844
10.411832,0.4137
10.421988,0.3989
10.432105,0.3347
10.442209,0.2189
10.453001,0.1257
10.464709,0.2022
10.474804,0.165
10.484869,-0.0165
10.494776,-0.4252
10.5054,-0.7515
10.515313,-0.8566
10.525248,-0.7895
10.535161,-0.8234
10.545081,-0.9357
10.555681,-0.8236
10.567156,-0.6211
10.577084,-0.4313
10.587017,-0.1447
10.596937,-0.054
10.607537,-0.1247
10.617465,-0.2297
10.62756,0.2849
10.637648,0.458
10.647732,0.5192
10.659224,0.4999
10.670912,0.404
10.680993,0.3589
10.691088,0.2065
10.701112,-0.1459
10.711721,-0.4829
10.723204,-0.5683
10.73312,-0.6002
10.743028,-0.6741
10.752904,-0.6523
10.763504,-0.6937
10.773396,-0.6524
10.783316,-0.4725
10.793252,-0.3056
10.803176,-0.2213
10.813809,-0.2053
10.823708,-0.2624
10.833613,-0.2467
10.843588,0.0348
10.853676,0.2748
10.864477,0.3057
10.876244,0.281
10.886337,0.1806
10.89646,0.0501
10.906504,-0.0053
10.9171,-0.065
10.928581,-0.2186
10.938496,-0.5891
10.9484,-0.8851
10.958296,-1.0
10.968845,-1.0
10.978729,-0.9391
10.988636,-0.8654
10.998537,-0.8689
11.008433,-0.7779
11.019032,-0.6041
11.028932,-0.4383
11.038845,-0.2656
11.048736,-0.3397
11.058649,-0.0903
11.06942,0.43
11.079504,0.5298
11.0903,0.4911
11.101981,0.465
11.112069,0.3547
11.122853,0.2254
11.134569,0.1474
11.144597,-0.0976
11.154513,-0.3495
11.164428,-0.6928
11.175057,-0.803
11.184948,-0.9044
11.194845,-0.9801
11.204736,-0.9938
11.214616,-0.942
11.225209,-0.8149
11.2351,-0.6513
11.245009,-0.3592
11.25492,-0.165
11.264832,-0.0672
11.275452,-0.1117
11.285485,0.1055
11.295569,0.3897
11.305668,0.4515
11.315813,0.4409
11.326588,0.3748
11.338296,0.2171
11.348408,0.0729
11.358392,-0.12
11.368309,-0.3147
11.378909,-0.4534
11.390369,-0.6592
11.400284,-0.9438
11.410181,-0.9416
11.420077,-0.8159
11.430672,-0.7728
11.440588,-0.6235
11.450485,-0.4606
11.460385,-0.3352
11.470304,-0.291
11.480876,-0.4044
11.490764,-0.3893
